wikidata,label
Q7796876,"Those Who Love (P.J. Ramster/Paulette McDonagh, 1926)"
Q5763506,"Hills of Hate (Raymond Longford, 1926)"
Q5302881,"Down Under (Harry Southwell, 1927)"
Q7744230,"The Kid Stakes (Tal Ordell, 1927)"
Q5467144,"For the Term of His Natural Life (Norman Dawn, 1927)"
Q5381006,"Environment (Gerald M. Hayle, 1927)"
Q7761876,"The Rushing Tide (Gerald M. Hayle, 1927)"
Q7749934,"The Man Who Forgot (A.R. Harwood, 1927)"
Q7751550,"The Miner's Daughter (Leon Forbert, 1927)"
Q7761404,"The Romance of Runnibede (Scott R. Dunlap, 1928)"
Q7763706,The Shattered Illusion (1928)
Q7751005,The Menace (1928)
Q7765936,The Spirit of Gallipoli (1928)
Q7845565,"Trooper O'Brien (John Gavin, 1928)"
Q7712405,"The Adorable Outcast (Norman Dawn, 1928)"
Q5054462,Caught in the Net (1928)
Q7733414,"The Far Paradise (Paulette McDonagh, 1928)"
Q7738274,"The Grey Glove (Dunstan Webb, 1928)"
Q7718132,"The Birth of White Australia (Phil K. Walsh, 1928)"
Q7732846,"The Exploits of the Emden (Ken G. Hall/Louis Ralph, 1928)"
Q3989113,"The Russell Affair (P.J. Ramster, 1928)"
Q7077531,"Odds On (Arthur Higgins, 1928)"
Q7729942,The Devil's Playground (1928)
Q7744639,"The Kingdom of Twilight (Alexander MacDonald, 1929)"
Q7801422,"Tiger Island (Gerald M. Hayle, 1930)"
Q7722268,"The Cheaters (Paulette McDonagh, 1930)"
Q5442455,"Fellers (Arthur Higgins, 1930)"
Q7581550,"Spur of the Moment (A.R. Harwood, 1931)"
Q6083930,"Isle of Intrigue (A.R. Harwood, 1931)"
Q5275641,"Diggers (Francis William Thring, 1931)"
Q7503239,"Showgirl's Luck (Norman Dawn, 1931)"
Q7763311,"The Sentimental Bloke (Francis William Thring, 1932)"
Q7091101,"On Our Selection (Ken G. Hall, 1932)"
Q5772181,"His Royal Highness (Francis William Thring, 1932)"
Q5275649,"Diggers in Blighty (Pat Hanna/Raymond Longford, 1933)"
Q5659602,"Harmony Row (Francis William Thring/Raymond Longford, 1933)"
Q3149754,"In the Wake of the Bounty (Charles Chauvel, 1933)"
Q7766105,"The Squatter's Daughter (Ken G. Hall, 1933)"
Q7859110,"Two Minutes Silence (Paulette McDonagh, 1933)"
Q7966850,"Waltzing Matilda (Pat Hanna/Raymond Longford, 1933)"
Q7739084,"The Hayseeds (Beaumont Smith/Raymond Longford, 1933)"
Q4660128,"A Ticket in Tatts (Francis William Thring, 1934)"
Q15039747,"Secret of the Skies (A.R. Harwood, 1934)"
Q7764196,"The Silence of Dean Maitland (Ken G. Hall, 1933)"
Q7749894,"The Man They Could Not Hang (Raymond Longford, 1934)"
Q7992989,"When the Kellys Rode (Harry Southwell, 1934)"
Q5125989,"Clara Gibbings (Francis William Thring, 1934)"
Q7623787,"Strike Me Lucky (Ken G. Hall, 1934)"
Q7578451,"Splendid Fellows (Beaumont Smith/Kenneth Brampton/Raymond Longford, 1934)"
Q7767008,"The Streets of London (Francis William Thring, 1934)"
Q5595279,"Grandad Rudd (Ken G. Hall, 1935)"
Q5738637,"Heritage (Charles Chauvel, 1935)"
Q7720639,"The Burgomeister (Harry Southwell, 1935)"
Q7796630,"Thoroughbred (Ken G. Hall, 1936)"
Q7734577,"The Flying Doctor (Miles Mander, 1936)"
Q7882671,"Uncivilised (Charles Chauvel, 1936)"
Q7994637,"White Death (Rupert Kathner, 1936)"
Q7103933,"Orphan of the Wilderness (Ken G. Hall, 1936)"
Q7292876,"Rangle River (Clarence G. Badger, 1936)"
Q6091875,"It Isn't Done (Ken G. Hall, 1937)"
Q6948844,"Mystery Island (J.A. Lipman, 1937)"
Q7180562,"Phantom Gold (Rupert Kathner, 1937)"
Q7679985,"Tall Timbers (Ken G. Hall, 1937)"
Q7715011,"The Avenger (A.R. Harwood, 1937)"
Q6692460,"Lovers and Luggers (Ken G. Hall, 1937)"
Q12104370,"The Broken Melody (Ken G. Hall, 1937)"
Q6532660,"Let George Do It (Ken G. Hall, 1938)"
Q7502936,"Show Business (A.R. Harwood, 1938)"
Q7861333,"Typhoon Treasure (Noel Monkman, 1938)"
Q5207859,"Dad and Dave Come to Town (Ken G. Hall, 1938)"
Q12102124,"Below the Surface (Rupert Kathner, 1938)"
Q6928519,"Mr. Chedworth Steps Out (Ken G. Hall, 1939)"
Q5581634,"Gone to the Dogs (Ken G. Hall, 1939)"
Q5151292,"Come Up Smiling (William Freshman, 1939)"
Q7457324,"Seven Little Australians (Arthur Greville Collins, 1939)"
Q5207855,"Dad Rudd, MP (Ken G. Hall, 1940)"
Q8025290,"Wings of Destiny (Rupert Kathner, 1940)"
Q5472997,"Forty Thousand Horsemen (Charles Chauvel, 1940)"
Q7711150,"That Certain Something (Clarence G. Badger, 1941)"
Q7757927,"The Power and the Glory (Noel Monkman, 1941)"
Q7279685,"Racing Luck (Rupert Kathner, 1941)"
Q4660844,"A Yank in Australia (Alfred J. Goulding, 1942)"
Q3522429,"The Rats of Tobruk (Charles Chauvel, 1944)"
Q7305051,"Red Sky at Morning (Hartney Arthur, 1944)"
Q5676779,"Harvest Gold (Mervyn Murphy, 1945)"
Q12127551,"Smithy (Ken G. Hall, 1946)"
Q4659657,"A Son Is Born (Eric Porter, 1946)"
Q7755740,"The Overlanders (Harry Watt, 1946)"
Q5001367,"Bush Christmas (Ralph Smart, 1947)"
Q4738397,"Always Another Dawn (T.O. McCreadie, 1948)"
Q5411239,"Eureka Stockade (Harry Watt, 1949)"
Q7624500,"Strong Is the Seed (Arthur Greville Collins, 1949)"
Q6058168,"Into the Straight (T.O. McCreadie, 1949)"
Q7562326,"Sons of Matthew (Charles Chauvel, 1949)"
Q4919025,"Bitter Springs (Ralph Smart, 1950)"
Q7743960,"The Kangaroo Kid (Lesley Selander, 1950)"
Q7993502,"Wherever She Goes (Michael Gordon, 1951)"
Q7736766,"The Glenrowan Affair (Rupert Kathner, 1951)"
Q6849376,"Mike and Stefani (R. Maslyn Williams, 1952)"
Q3210106,"Kangaroo (Lewis Milestone, 1952)"
Q7033248,"Night Club (A.R. Harwood, 1952)"
Q5036825,"Captain Thunderbolt (Cecil Holmes, 1953)"
Q7756849,"The Phantom Stockman (Lee Robinson, 1953)"
Q6412332,"King of the Coral Sea (Lee Robinson, 1954)"
Q7715248,"The Back of Beyond (John Heyer, 1954)"
Q6672759,"Long John Silver (Byron Haskin, 1954)"
Q3176350,"Jedda (Charles Chauvel, 1955)"
Q7544693,"Smiley (Anthony Kimmins, 1956)"
Q7962022,"Walk Into Paradise (Lee Robinson/Marcello Pagliero, 1956)"
Q7797967,"Three in One (Cecil Holmes, 1957)"
Q7763858,"The Shiralee (Leslie Norman, 1957)"
Q7340832,"Robbery Under Arms (Jack Lee, 1957)"
Q3225286,"The Stowaway (Lee Robinson/Ralph Habib, 1958)"
Q7544703,"Smiley Gets a Gun (Anthony Kimmins, 1958)"
Q5317009,"Dust in the Sun (Lee Robinson, 1958)"
Q3201772,"The Restless and the Damned (Yves Allégret, 1959)"
Q3012988,"Summer of the Seventeenth Doll (Leslie Norman, 1959)"
Q1469774,"On the Beach (Stanley Kramer, 1959)"
