item,title,director,year
368,Two Thousand Weeks,Tim Burstall,1969
369,It Takes All Kinds,Eddie Davis,1969
370,The Intruders,Lee Robinson,1969
371,The Set,Frank Brittain,1970
372,Squeeze A Flower,Marc Daniels,1970
373,Jack And Jill: A Postscript,Phillip Adams,1970
373,Jack And Jill: A Postscript,Brian Robinson,1970
374,Color Me Dead,Eddie Davis,1970
375,Nothing Like Experience,Peter Carmody,1970
376,Adam's Woman,Philip Leacock,1970
377,Beyond Reason,Giorgio Mangiamele,1970
378,Dead Easy,Nigel Buesst,1970
379,Ned Kelly,Tony Richardson,1970
380,Strange Holiday,Mende Brown,1970
381,Little Jungle Boy,Mende Brown,1970
382,The Naked Bunyip,John B. Murray,1970
383,That Lady From Peking,Eddie Davis,1970
384,Sympathy In Summer,Antony I. Ginnane,1971
385,Three To Go,Peter Weir,1971
385,Three To Go,Brian Hannant,1971
385,Three To Go,Oliver Howes,1971
386,Nickel Queen,John McCallum,1971
387,Demonstrator,Warwick Freeman,1971
388,Homesdale,Peter Weir,1971
389,Country Town,Peter Maxwell,1971
390,Walkabout,Nicolas Roeg,1971
391,Wake In Fright,Ted Kotcheff,1971
392,And The Word Was Made Flesh,Dusan Marek,1971
393,Bonjour Balwyn,Nigel Buesst,1971
394,Stockade,Hans Pomeranz,1971
395,Stork,Tim Burstall,1971
396,Bello Onesto Emigrato Australia Sposerebbecompaesana Illibata,Luigi Zampa,1971
396,Girl In Australia,Luigi Zampa,1971
397,A City's Child,Brian Kavanagh,1972
398,Shirley Thompson Versus The Aliens,Jim Sharman,1972
399,Private Collection,Keith Salvat,1972
400,The Adventures Of Barry Mckenzie,Bruce Beresford,1972
401,The Office Picnic,Tom Cowan,1972
402,Sunstruck,James Gilbert,1972
403,Marco Polo Jnr Versus The Red Dragon,Eric Porter,1972
404,Flashpoint,Brian Hannant,1972
405,Gentle Strangers,Cecil Holmes,1972
406,Night Of Fear,Terry Bourke,1973
407,Libido,John B. Murray,1973
407,Libido,Tim Burstall,1973
407,Libido,Fred Schepisi,1973
407,Libido,David Baker,1973
408,The Sabbat Of The Black Cat,Ralph Lawrence Marsden,1973
409,An Essay On Pornography,Christopher Cary,1973
410,Lost In The Bush,Peter Dodds,1973
411,Don Quixote,Rudolf Nureyev,1973
411,Don Quixote,Robert Helpmann,1973
412,Come Out Fighting,Nigel Buesst,1973
413,Avengers Of The Reef,Chris McCullugh,1973
414,Dalmas,Bert Deling,1973
415,Alvin Purple,Tim Burstall,1973
416,Moving On,Richard Mason,1974
417,Matchless,John Papadopoulos,1974
418,Number 96,Peter Benardos,1974
419,27A,Esben Storm,1974
420,The Cars That Ate Paris,Peter Weir,1974
421,Stone,Sandy Harbutt,1974
422,Yackety Yack,Dave Jones,1974
423,Petersen,Tim Burstall,1974
424,Between Wars,Michael Thornhill,1974
425,Alvin Rides Again,David Bilcock,1974
425,Alvin Rides Again,Robin Copping,1974
426,Barry Mckenzie Holds His Own,Bruce Beresford,1974
427,The Love Epidemic,Brian Trenchard Smith,1975
428,The Firm Man,John Duigan,1975
429,Promised Woman,Tom Cowan,1975
430,The True Story Of Eskimo Nell,Richard Franklin,1975
431,Sidecar Racers,Earl Bellamy,1975
432,Sunday Too Far Away,Ken Hannam,1975
433,The Man From Hong Kong,Brian Trenchard Smith,1975
434,The Great Macarthy,David Baker,1975
435,The Box,Paul Eddey,1975
436,Picnic At Hanging Rock,Peter Weir,1975
437,Pure S,Bert Deling,1975
438,The Golden Cage,Ayten Kuyululu,1975
439,How Willingly You Sing,Garry Patterson,1975
440,Down The Wind,Kim Mckenzie,1975
440,Down The Wind,Scott Hicks,1975
441,Plugg,Terry Bourke,1975
442,Scobie Malone,Terry Ohlsson,1975
443,The Removalists,Tom Jeffrey,1975
444,Solo Flight,Ian Mills,1975
445,Protected,Alessandro Cavadini,1975
